rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;745;528;217;0.05;0.9919463087248322;0.0013422818791946512;0.9962121212121211;0.0018939393939393812;0.9924528032902348;1.4256196916576788e-05;0.9943280235532137;0.0009510810571967081
'package' should be separated from previous statement.;745;4;741;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'{' should be on the previous line;744;74;670;0.05;0.996236559139785;0.0005376344086021501;1.0;0.0;0.963568010936432;0.005058099794941917;0.981439293598234;0.002613686534216342
First sentence of Javadoc is incomplete (period is missing) or not present.;745;13;732;0.05;0.9985234899328859;0.0012663061922223626;1.0;0.0;0.9260119047619048;0.060313834608029325;0.9605546433132641;0.03291387886588408
Line contains a tab character.;745;517;228;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;744;364;380;0.05;0.9885752688172044;0.0009016403135079789;0.9950549450549451;0.0010989010989010952;0.9818412580130502;0.0016993447648334776;0.9884026884715322;0.0009088554079047056
<p> tag should be placed immediately before the first word, with no space after.;745;1;744;0.05;0.9971812080536913;0.0011149830688480919;0.0;0.0;0.0;0.0;0.0;0.0
<p> tag should be preceded with an empty line.;745;1;744;0.05;0.9986577181208054;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'}' should be on the same line as the next part of a multi-block statement;745;3;742;0.05;0.9986577181208054;0.0010397270728073414;0.7333333333333334;0.24944382578492946;0.9416666666666667;0.11814539065631523;0.7923809523809523;0.1790146879543725
Wrong lexicographical order for import;745;2;743;0.05;0.9926174496644297;0.0006711409395973034;0.0;0.0;0.0;0.0;0.0;0.0
Line is longer than 100 characters;744;14;730;0.05;0.9896505376344088;0.001049764741385302;0.6642857142857144;0.055787497685047545;0.7550699300699301;0.016202247893842895;0.7060626780626781;0.03912670944572762
Missing a Javadoc comment.;745;3;742;0.05;0.9934228187919464;0.0007228409137093164;0.8;0.16329931618554522;0.35595238095238096;0.04331763190157203;0.49131313131313126;0.06986394871073476
Abbreviation in name must contain no more than '2' consecutive capital letters;745;4;741;0.05;0.9973154362416107;0.0010397270728073845;0.775;0.175;0.7333333333333333;0.06411794687223785;0.7476190476190476;0.11337267557771266
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';744;1;743;0.05;0.9986559139784946;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;745;3;742;0.05;0.9993288590604028;0.0006711409395973034;1.0;0.0;0.875;0.125;0.9285714285714285;0.07142857142857145
Whitespace around a symbol is not followed by whitespace;744;2;742;0.05;0.9922043010752688;0.0013169299692382668;0.0;0.0;0.0;0.0;0.0;0.0
'(' is followed by whitespace.;745;2;743;0.05;0.9978523489932887;0.0008903690712363328;0.2;0.33166247903554;0.3;0.45825756949558394;0.2333333333333333;0.3666666666666667
')' is preceded with whitespace.;745;2;743;0.05;0.9974496644295302;0.00040268456375838204;0.05;0.15000000000000002;0.1;0.30000000000000004;0.06666666666666667;0.19999999999999998
"switch without ""default"" clause.";744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;745;1;744;0.05;0.9977181208053691;0.001048355661195542;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;745;1;744;0.05;0.9963758389261743;0.0006151108315377364;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'CTOR_DEF' should be separated from previous statement.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;1488;1055;433;0.1;0.9870967741935482;0.0007837300933932001;0.9905213270142179;0.0009478672985782088;0.9912730497742912;0.00037819210878816333;0.9908968317057791;0.0005560913323661433
'package' should be separated from previous statement.;1488;7;1481;0.1;0.9993279569892474;1.1102230246251565e-16;1.0;0.0;0.875;0.0;0.9333333333333333;0.0
'{' should be on the previous line;1488;148;1340;0.1;0.9990591397849462;0.0003292324923095395;1.0;0.0;0.9906398210290828;0.0032440669524108233;0.9952952342214088;0.0016384176527327458
First sentence of Javadoc is incomplete (period is missing) or not present.;1488;25;1463;0.1;0.9993279569892474;1.1102230246251565e-16;1.0;0.0;0.9615384615384615;1.1102230246251565e-16;0.980392156862745;1.1102230246251565e-16
Line contains a tab character.;1488;1033;455;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;1488;728;760;0.1;0.9898521505376344;0.0007632941325000337;0.990521978021978;0.0012958765291286498;0.9887563990215347;0.0005470243403149941;0.9896380244999861;0.0007843501252503096
<p> tag should be placed immediately before the first word, with no space after.;1488;1;1487;0.1;0.999260752688172;0.00020161290322578962;0.0;0.0;0.0;0.0;0.0;0.0
<p> tag should be preceded with an empty line.;1488;1;1487;0.1;0.9993279569892474;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'}' should be on the same line as the next part of a multi-block statement;1489;6;1483;0.1;0.9978509066487575;0.0004029550033579632;0.5333333333333333;0.06666666666666667;0.905;0.11715374513859982;0.6660606060606061;0.058975022338880405
Wrong lexicographical order for import;1489;3;1486;0.1;0.9957018132975153;0.0003290113825094429;0.33333333333333337;5.551115123125783e-17;0.18666666666666668;0.01632993161855453;0.23888888888888887;0.01360827634879544
Line is longer than 100 characters;1488;28;1460;0.1;0.9877016129032257;0.0005248823706926574;0.4892857142857143;0.01636634176769942;0.7748194014447884;0.028218763328880594;0.5995354096001645;0.01652282040809194
Missing a Javadoc comment.;1489;5;1484;0.1;0.9973136333109469;0.0004247518683906538;1.0;0.0;0.5583333333333333;0.03967460238079361;0.7157509157509158;0.0324832223844621
Abbreviation in name must contain no more than '2' consecutive capital letters;1489;7;1482;0.1;0.9955674949630623;0.0004454835178448745;0.7142857142857143;0.0;0.523611111111111;0.04027777777777778;0.6034313725490195;0.025584290883725318
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';1488;2;1486;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
At-clause should have a non-empty description.;1489;5;1484;0.1;0.9998656816655472;0.0002686366689053088;1.0;0.0;0.9666666666666668;0.06666666666666665;0.9818181818181818;0.036363636363636376
Whitespace around a symbol is not followed by whitespace;1488;4;1484;0.1;0.997244623655914;0.0005582408510025603;0.25;0.0;0.5833333333333333;0.2813657169355689;0.3342857142857143;0.04732288856687559
'(' is followed by whitespace.;1488;3;1485;0.1;0.999260752688172;0.0003619062370386016;0.6333333333333333;0.17950549357115014;1.0;0.0;0.76;0.14282856857085702
')' is preceded with whitespace.;1488;3;1485;0.1;0.999260752688172;0.0005582408510025563;0.6333333333333333;0.27688746209726917;1.0;0.0;0.74;0.21071307505705478
"switch without ""default"" clause.";1489;1;1488;0.1;0.9988582941571522;0.0003077619674248418;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;1489;2;1487;0.1;0.9991940899932841;0.0006580227650189946;0.5;0.3872983346207417;0.65;0.45;0.55;0.39475730941090037
Symbol should be on a new line;1488;1;1487;0.1;0.998521505376344;0.0006584649846191266;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;1488;1;1487;0.1;0.9981182795698924;0.0002688172043010972;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;1489;1;1488;0.1;0.9992612491605103;0.00020147750167898157;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;1489;1;1488;0.1;0.9991269308260577;0.0003077619674248419;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;1489;1;1488;0.1;0.9993284083277366;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;1489;1;1488;0.1;0.9993284083277366;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'CTOR_DEF' should be separated from previous statement.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;2976;2110;866;0.2;0.9912970430107526;0.000551116245526094;0.993696682464455;0.0006013543858033207;0.9940265462636116;0.00037774650845358076;0.9938614858899957;0.0003895771024427951
'package' should be separated from previous statement.;2976;14;2962;0.2;0.9996639784946236;0.0;1.0;0.0;0.9333333333333333;0.0;0.9655172413793103;1.1102230246251565e-16
'{' should be on the previous line;2976;296;2680;0.2;0.9989583333333332;0.00010080645161291147;0.9962837837837837;0.0010135135135135196;0.9932637182637183;6.825006825028623e-06;0.9947712045941387;0.0005093204502985005
First sentence of Javadoc is incomplete (period is missing) or not present.;2976;50;2926;0.2;0.9993279569892474;1.1102230246251565e-16;0.9800000000000001;1.1102230246251565e-16;0.9800000000000001;1.1102230246251565e-16;0.9800000000000001;1.1102230246251565e-16
Line contains a tab character.;2976;2066;910;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;2976;1456;1520;0.2;0.9935147849462366;0.0006558878123636722;0.9964972527472528;0.0011675824175824134;0.9903079915541111;0.000507556561104141;0.9933926245024043;0.0006710220719455133
<p> tag should be placed immediately before the first word, with no space after.;2976;2;2974;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
<p> tag should be preceded with an empty line.;2976;2;2974;0.2;0.999092741935484;0.00021515874453736315;0.5;0.0;0.3916666666666667;0.09166666666666667;0.4333333333333333;0.05773502691896256
'}' should be on the same line as the next part of a multi-block statement;2976;11;2965;0.2;0.9991599462365592;0.00016801075268813026;0.909090909090909;1.1102230246251565e-16;0.8712121212121211;0.037878787878787845;0.8893280632411067;0.01976284584980237
Wrong lexicographical order for import;2976;5;2971;0.2;0.9968077956989246;0.00027090919853153876;0.2;0.0;0.15630952380952381;0.020104954207196532;0.17477855477855478;0.012392429214001998
Line is longer than 100 characters;2975;56;2919;0.2;0.9932773109243695;0.00033613445378151137;0.7767857142857142;0.014396888836247401;0.8533455358921508;0.016280753303685926;0.813078764649091;0.00909316256590809
Missing a Javadoc comment.;2976;9;2967;0.2;0.999361559139785;0.00010080645161291145;1.0;0.0;0.8263636363636364;0.024545454545454537;0.9047368421052632;0.014210526315789484
Abbreviation in name must contain no more than '2' consecutive capital letters;2976;13;2963;0.2;0.9979166666666666;0.00020161290322577853;0.8615384615384615;0.030769230769230792;0.7185049019607843;0.022659641801885844;0.7832019704433497;0.02023959233330648
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';2975;4;2971;0.2;0.9988571428571428;0.00016467157934673508;0.75;0.0;0.5599999999999999;0.04898979485566355;0.6399999999999999;0.032659863237108976
At-clause should have a non-empty description.;2976;9;2967;0.2;0.9996639784946236;0.0;0.888888888888889;1.1102230246251565e-16;1.0;0.0;0.9411764705882353;0.0
Whitespace around a symbol is not followed by whitespace;2975;7;2968;0.2;0.9971092436974791;0.000222966372460849;0.2857142857142857;0.0;0.36333333333333334;0.05259911279353168;0.3184149184149184;0.018151908936066947
'(' is followed by whitespace.;2976;6;2970;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
')' is preceded with whitespace.;2976;6;2970;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
"switch without ""default"" clause.";2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;2976;3;2973;0.2;0.9997647849462366;0.00015398439835202335;0.7666666666666667;0.1527525231651947;1.0;0.0;0.8600000000000001;0.09165151389911677
Symbol should be on a new line;2975;1;2974;0.2;0.9996638655462183;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;2976;2;2974;0.2;0.9982862903225806;0.00031700205416857223;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;2976;1;2975;0.2;0.9996639784946236;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'CTOR_DEF' should be separated from previous statement.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;2975;0;2975;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;4959;3516;1443;0.3;0.9913490623109498;0.0002772278097372138;0.9947383390216157;0.0002293019837400134;0.9930720203088714;0.0003139682900605658;0.9939044433971347;0.00019497151504471236
'package' should be separated from previous statement.;4959;22;4937;0.3;0.9995966928816294;1.1102230246251565e-16;1.0;0.0;0.9166666666666666;0.0;0.9565217391304349;1.1102230246251565e-16
'{' should be on the previous line;4959;493;4466;0.3;0.9994555353901996;9.24092699124046e-05;1.0;0.0;0.9945540078201368;0.0009201734350005118;0.9972693556244192;0.0004624165041393203
First sentence of Javadoc is incomplete (period is missing) or not present.;4959;83;4876;0.3;0.9995160314579552;9.878966496403875e-05;0.9759036144578314;0.0;0.9951219512195122;0.00597436522630044;0.9854101995565412;0.002932870202002029
Line contains a tab character.;4959;3442;1517;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;4959;2426;2533;0.3;0.9938092357330106;0.0004234724742891528;0.9956718878812861;0.0004608549005564236;0.991707072868099;0.0006521696943614798;0.9936853909726887;0.0004310877301703456
<p> tag should be placed immediately before the first word, with no space after.;4959;3;4956;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
<p> tag should be preceded with an empty line.;4959;3;4956;0.3;0.9996571889493848;0.00012912127923842053;0.9333333333333332;0.13333333333333336;0.6566666666666666;0.08504900548115384;0.7666666666666666;0.09053882543729304
'}' should be on the same line as the next part of a multi-block statement;4959;17;4942;0.3;0.9990723936277476;9.878966496398437e-05;0.9;0.026956327617387303;0.8408668730650154;0.014374352168872558;0.8691876750700279;0.014860025379705955
Wrong lexicographical order for import;4959;8;4951;0.3;0.9969147005444647;9.24092699124046e-05;0.125;0.0;0.10777777777777778;0.00509175077217315;0.11568627450980393;0.0029951475130430283
Line is longer than 100 characters;4959;94;4865;0.3;0.9928816293607582;0.00025586968220307245;0.7627659574468085;0.01263227881599779;0.8466107372560318;0.008668676663941983;0.8024259689624043;0.007840066824505205
Missing a Javadoc comment.;4959;14;4945;0.3;0.999395039322444;0.0;0.8571428571428571;0.0;0.9230769230769231;0.0;0.888888888888889;0.0
Abbreviation in name must contain no more than '2' consecutive capital letters;4959;21;4938;0.3;0.9971365194595686;0.0001509037058590115;0.7904761904761906;0.023328473740792197;0.6289877899877899;0.015461957573390053;0.7003891427061111;0.01568046743406181
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';4959;7;4952;0.3;0.9995966928816294;1.1102230246251565e-16;0.8571428571428571;0.0;0.8571428571428571;0.0;0.8571428571428571;0.0
At-clause should have a non-empty description.;4959;15;4944;0.3;0.9997983464408146;1.1102230246251565e-16;0.9333333333333333;0.0;1.0;0.0;0.9655172413793103;1.1102230246251565e-16
Whitespace around a symbol is not followed by whitespace;4959;12;4947;0.3;0.9979632990522284;0.0002290344160435834;0.75;0.0;0.561859243697479;0.04056649931459177;0.6416281419729697;0.026220157287736065
'(' is followed by whitespace.;4959;10;4949;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
')' is preceded with whitespace.;4959;10;4949;0.3;0.9999193385763258;9.878966496403874e-05;0.96;0.04898979485566355;1.0;0.0;0.9789473684210528;0.025784102555612372
"switch without ""default"" clause.";4959;1;4958;0.3;0.9995361968138738;9.24092699124046e-05;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;4959;5;4954;0.3;0.9998991732204073;0.00010082677959266652;0.9;0.09999999999999998;1.0;0.0;0.9444444444444444;0.055555555555555525
Symbol should be on a new line;4959;2;4957;0.3;0.9992740471869329;0.00013376183869149506;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;4959;3;4956;0.3;0.9988909054244808;0.00010082677959266652;0.0;0.0;0.0;0.0;0.0;0.0
